address;LAT;LON
Term. Jabaquara  São Paulo  Brazil;-23,6461957;-46,6407825
Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;-23,6347662;-46,631293
São Judas  São Paulo  Brazil;-23,6244547;-46,6379525
Saúde  Sao Paulo - São Paulo  Brazil;-23,6183379;-46,6354972
Praça Da Árvore  São Paulo  Brazil;-23,6105101;-46,637934
Santa Cruz  São Paulo  Brazil;-23,5989093;-46,6368331
Vila Mariana  São Paulo  Brazil;-23,589702;-46,6346381
Ana Rosa  São Paulo  Brazil;-23,5815309;-46,6386629
Estação Paraíso  São Paulo  Brazil;-23,5757724;-46,6408821
Vergueiro  São Paulo  Brazil;-23,5927108;-46,6209509
São Joaquim  São Paulo  Brazil;-23,5618724;-46,6386722
Estação Liberdade do Metro  São Paulo  Brazil;-23,5551495;-46,6359496
Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;-23,5503099;-46,6342009
São Bento  São Paulo  Brazil;-23,5439553;-46,6340382
Estação Luz do Metrô - Avenida Cásper Líbero  Luz  Sao Paulo - São Paulo  Brazil;-23,5350794;-46,6353093
Tiradentes  Luz  Sao Paulo - São Paulo  Brazil;-23,5290633;-46,6318217
Armênia  Luz  Sao Paulo - São Paulo  Brazil;-23,525464;-46,6293
Portuguesa-tietê  Santana  Sao Paulo - São Paulo  Brazil;-23,5161069;-46,6252047
Carandiru  Santana  Sao Paulo - São Paulo  Brazil;-23,509149;-46,624937
Estação Santana - Rua Doutor César  Santana  Sao Paulo - São Paulo  Brazil;-23,5025905;-46,6247431
Jardim São Paulo-ayrton Senna  Jardim São Paulo  Sao Paulo - São Paulo  Brazil;-23,4922867;-46,6166635
Parada Inglesa  Sao Paulo - São Paulo  Brazil;-23,4859845;-46,6083797
Tucuruvi  Vila Gustavo  Sao Paulo - São Paulo  Brazil;-23,4824715;-46,5974842
Vila Prudente  Sao Paulo - São Paulo  Brazil;-23,5790136;-46,5797561
Tamanduatei  Vila Independência  Sao Paulo - São Paulo  Brazil;-23,5927572;-46,58945
Estação Sacomâ de Metrô - Rua Greenfeld  Sacomã  Sao Paulo - São Paulo  Brazil;-23,6029751;-46,6027087
Alto Do Ipiranga  Vila Dom Pedro I  Sao Paulo - São Paulo  Brazil;-23,6020094;-46,6124299
Santos-imigrantes  Vila Firmiano Pinto  Sao Paulo - São Paulo  Brazil;-23,5959352;-46,6207273
Chácara Klabin  Jardim Vila Mariana  Sao Paulo - São Paulo  Brazil;-23,5917441;-46,6295089
Estação Brigadeiro de Metro  São Paulo  Brazil;-23,568864;-46,647415
Trianon-masp  São Paulo  Brazil;-23,5636678;-46,6538148
Consolação  Consolacao  Sao Paulo - São Paulo  Brazil;-23,5520577;-46,6525766
Estação das Clinicas  São Paulo  Brazil;-23,5542906;-46,670987
Metro Sumare  São Paulo  Brazil;-23,5507519;-46,6779022
Vila Madalena  São Paulo  Brazil;-23,5514369;-46,6975656
Corinthians-itaquera  Cidade Antonio Estevão de Carvalho  Sao Paulo - São Paulo  Brazil;-23,5422745;-46,4710881
Artur Alvim  Cidade Antonio Estevão de Carvalho  Sao Paulo - São Paulo  Brazil;-23,5405113;-46,4843736
Patriarca  São Paulo  Brazil;-23,5478412;-46,63644439999999
Estação Guilhermina - Esperança  São Paulo  Brazil;-23,529533;-46,5169876
Estação Vila Matilde  São Paulo  Brazil;-23,5318384;-46,5304917
Penha  Penha de Franca  Sao Paulo - São Paulo  Brazil;-23,5258058;-46,54888130000001
Carrão  Tatuapé  Sao Paulo - São Paulo  Brazil;-23,5352452;-46,575463
Estação Tatuape  São Paulo  Brazil;-23,540238;-46,5760325
Metrô Belém - Avenida Alcântara Machado  Belenzinho  Sao Paulo - São Paulo  Brazil;-23,5427146;-46,58962460000001
Bresser-mooca  Brás  Sao Paulo - São Paulo  Brazil;-23,5463766;-46,6072689
Bras  Brás  Sao Paulo - São Paulo  Brazil;-23,5377391;-46,6139513
Pedro II  São Paulo  Brazil;-23,549717;-46,6259199
Anhangabaú  Consolacao  Sao Paulo - São Paulo  Brazil;-23,5478432;-46,6388302
República  Sao Paulo - São Paulo  Brazil;-23,5451075;-46,642778
Santa Cecília  São Paulo  Brazil;-23,5381968;-46,6572575
Marechal Deodoro  São Paulo  Brazil;-23,6415365;-46,6949414
Barra Funda  São Paulo  Brazil;-23,5291923;-46,6609986
Estação Paulista do Metro  São Paulo  Brazil;-23,5552763;-46,6620388
Faria Lima  Pinheiros  Sao Paulo - São Paulo  Brazil;-23,5674273;-46,6931558
Estação Pinheiros De Metrô - Rua Gilberto Sabino  Pinheiros  Sao Paulo - São Paulo  Brazil;-23,5673102;-46,7018831
Estação Butanta metro - Avenida Vital Brasil  Butantã  Sao Paulo - São Paulo  Brazil;-23,5718263;-46,7080885
Capão Redondo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;-23,6684611;-46,7689719
Campo Limpo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;-23,6568508;-46,7659873
Estação Vila das Belezas - Rua Inácio Preto de Morais  Vila Nova das Belezas  Sao Paulo - São Paulo  Brazil;-23,6402373;-46,7456531
Giovanni Gronchi  Jardim Mirante  Sao Paulo - São Paulo  Brazil;-23,6439572;-46,73409179999999
Santo Amaro  Jardim São Luís (Zona Oeste)  Sao Paulo - São Paulo  Brazil;-23,6513756;-46,7330562
Largo Treze  Santo Amaro  Sao Paulo - São Paulo  Brazil;-23,654072;-46,708683
