estaçao;address;LAT;LON
estaçao jabaquara;Term. Jabaquara  São Paulo  Brazil;;
estaçao conceicao;Conceição  Vila Guarani  Sao Paulo - São Paulo  Brazil;;
estaçao sao-judas;São Judas  São Paulo  Brazil;;
estaçao saude;Saúde  Sao Paulo - São Paulo  Brazil;;
estaçao praca-arvore;Praça Da Árvore  São Paulo  Brazil;;
estaçao santa-cruz;Santa Cruz  São Paulo  Brazil;;
estaçao vila-mariana;Vila Mariana  São Paulo  Brazil;;
estaçao ana-rosa;Ana Rosa  São Paulo  Brazil;;
estaçao paraiso;Estação Paraíso  São Paulo  Brazil;;
estaçao vergueiro;Vergueiro  São Paulo  Brazil;;
estaçao sao-joaquim;São Joaquim  São Paulo  Brazil;;
estaçaoliberdade;Estação Liberdade do Metro  São Paulo  Brazil;;
estaçao se;Praça da Sé  Centro  Sao Paulo - São Paulo  Brazil;;
estaçao sao-bento;São Bento  São Paulo  Brazil;;
estaçao luz;Estação Luz do Metrô - Avenida Cásper Líbero  Luz  Sao Paulo - São Paulo  Brazil;;
estaçao tiradentes;Tiradentes  Luz  Sao Paulo - São Paulo  Brazil;;
estaçao armenia;Armênia  Luz  Sao Paulo - São Paulo  Brazil;;
estaçao portuguesa-tiete;Portuguesa-tietê  Santana  Sao Paulo - São Paulo  Brazil;;
estaçao carandiru;Carandiru  Santana  Sao Paulo - São Paulo  Brazil;;
estaçao santana;Estação Santana - Rua Doutor César  Santana  Sao Paulo - São Paulo  Brazil;;
estaçao jardim-sao-paulo;Jardim São Paulo-ayrton Senna  Jardim São Paulo  Sao Paulo - São Paulo  Brazil;;
estaçao parada-inglesa;Parada Inglesa  Sao Paulo - São Paulo  Brazil;;
estaçao tucuruvi;Tucuruvi  Vila Gustavo  Sao Paulo - São Paulo  Brazil;;
estaçao vila-prudente;Vila Prudente  Sao Paulo - São Paulo  Brazil;;
estaçao tamanduatei;Tamanduatei  Vila Independência  Sao Paulo - São Paulo  Brazil;;
estaçao sacoma;Estação Sacomâ de Metrô - Rua Greenfeld  Sacomã  Sao Paulo - São Paulo  Brazil;;
estaçao alto-ipiranga;Alto Do Ipiranga  Vila Dom Pedro I  Sao Paulo - São Paulo  Brazil;;
estaçao santos-imigrantes;Santos-imigrantes  Vila Firmiano Pinto  Sao Paulo - São Paulo  Brazil;;
estaçao chacara-klabin;Chácara Klabin  Jardim Vila Mariana  Sao Paulo - São Paulo  Brazil;;
estaçao brigadeiro;Estação Brigadeiro de Metro  São Paulo  Brazil;;
estaçao trianon-masp;Trianon-masp  São Paulo  Brazil;;
estaçao consolacao;Consolação  Consolacao  Sao Paulo - São Paulo  Brazil;;
estaçaoclinicas;Estação das Clinicas  São Paulo  Brazil;;
estaçao sumare;Metro Sumare  São Paulo  Brazil;;
estaçao vila-madalena;Vila Madalena  São Paulo  Brazil;;
estaçaoitaquera;Corinthians-itaquera  Cidade Antonio Estevão de Carvalho  Sao Paulo - São Paulo  Brazil;;
estaçaoartur-alvim;Artur Alvim  Cidade Antonio Estevão de Carvalho  Sao Paulo - São Paulo  Brazil;;
estaçao patriarca;Patriarca  São Paulo  Brazil;;
estaçao guilhermina-esperanca;Estação Guilhermina - Esperança  São Paulo  Brazil;;
estaçao vila-matilde;Estação Vila Matilde  São Paulo  Brazil;;
estaçao penha;Penha  Penha de Franca  Sao Paulo - São Paulo  Brazil;;
estaçao carrao;Carrão  Tatuapé  Sao Paulo - São Paulo  Brazil;;
estaçao tatuape;Estação Tatuape  São Paulo  Brazil;;
estaçao belem;Metrô Belém - Avenida Alcântara Machado  Belenzinho  Sao Paulo - São Paulo  Brazil;;
estaçao bresser-mooca;Bresser-mooca  Brás  Sao Paulo - São Paulo  Brazil;;
estaçao bras;Bras  Brás  Sao Paulo - São Paulo  Brazil;;
estaçao pedro-II;Pedro II  São Paulo  Brazil;;
estaçao anhangabau;Anhangabaú  Consolacao  Sao Paulo - São Paulo  Brazil;;
estaçao republica;República  Sao Paulo - São Paulo  Brazil;;
estaçao santa-cecilia;Santa Cecília  São Paulo  Brazil;;
estaçao marechal-deodoro;Marechal Deodoro  São Paulo  Brazil;;
estaçao barra-funda;Barra Funda  São Paulo  Brazil;;
estaçao paulista;Estação Paulista do Metro  São Paulo  Brazil;;
estaçao faria-lima;Faria Lima  Pinheiros  Sao Paulo - São Paulo  Brazil;;
estaçao pinheiros;Estação Pinheiros De Metrô - Rua Gilberto Sabino  Pinheiros  Sao Paulo - São Paulo  Brazil;;
estaçao butanta;Estação Butanta metro - Avenida Vital Brasil  Butantã  Sao Paulo - São Paulo  Brazil;;
estaçao capao-redondo;Capão Redondo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;;
estaçao campo-limpo;Campo Limpo  Cidade Auxiliadora  Sao Paulo - São Paulo  Brazil;;
estaçao vila-belezas;Estação Vila das Belezas - Rua Inácio Preto de Morais  Vila Nova das Belezas  Sao Paulo - São Paulo  Brazil;;
estaçao giovanni-gronchi;Giovanni Gronchi  Jardim Mirante  Sao Paulo - São Paulo  Brazil;;
estaçao santo-amaro;Santo Amaro  Jardim São Luís (Zona Oeste)  Sao Paulo - São Paulo  Brazil;;
estaçao argo-treze;Largo Treze  Santo Amaro  Sao Paulo - São Paulo  Brazil;;
